"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",98.26945,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",98.29572,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",98.37037,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",98.48009,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",98.61074,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.76995,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.97729,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",99.25131,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.56339,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.88371,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",100.174,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.3962,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.5059,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.4886,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.3939,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",100.2789,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",100.1831,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",100.1028,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",100.1134,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.2653,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.6124,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.1703,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",101.7855,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",102.2856,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",102.5592,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",102.5446,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",102.3042,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",101.9571,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",101.5833,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",101.2457,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",100.9733,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",100.7748,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",100.6476,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",100.5646,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.4997,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.4599,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.4617,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.4898,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.5087,
