"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1957-12",98.26189,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-01",98.28819,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-02",98.3633,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-03",98.47379,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-04",98.60544,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-05",98.76582,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-06",98.9745,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-07",99.25002,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-08",99.56362,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-09",99.88538,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-10",100.1769,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-11",100.4001,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1958-12",100.5105,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-01",100.4933,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-02",100.3984,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-03",100.2832,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-04",100.187,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-05",100.1064,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-06",100.1168,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-07",100.269,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-08",100.6169,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-09",101.1761,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-10",101.7925,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-11",102.2936,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1959-12",102.5675,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-01",102.5523,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-02",102.3106,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-03",101.9621,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-04",101.5868,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-05",101.2479,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-06",100.9744,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-07",100.7752,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-08",100.6475,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-09",100.5645,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-10",100.4997,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-11",100.4602,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1960-12",100.4624,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-01",100.4909,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-02",100.51,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-03",100.4525,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-04",100.272,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-05",99.97354,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-06",99.56091,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-07",99.04824,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-08",98.51182,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-09",98.07191,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-10",97.78932,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-11",97.67655,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1961-12",97.67918,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-01",97.74926,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-02",97.86389,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-03",98.01862,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-04",98.20967,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-05",98.38513,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-06",98.52328,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-07",98.67435,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-08",98.85889,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-09",99.04922,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-10",99.24004,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-11",99.41195,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1962-12",99.56081,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-01",99.70545,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-02",99.88155,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-03",100.0955,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-04",100.3251,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-05",100.5415,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-06",100.7431,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-07",100.9678,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-08",101.1992,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-09",101.4107,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-10",101.5684,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-11",101.6397,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1963-12",101.6377,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-01",101.5753,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-02",101.4755,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-03",101.3833,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-04",101.3399,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-05",101.345,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-06",101.3967,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-07",101.4459,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-08",101.4516,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-09",101.3716,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-10",101.1713,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-11",100.8718,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1964-12",100.5218,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-01",100.1927,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-02",99.90446,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-03",99.63405,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-04",99.3824,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-05",99.19775,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-06",99.1032,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-07",99.08902,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-08",99.15594,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-09",99.30148,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-10",99.51189,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-11",99.76012,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1965-12",100.0235,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-01",100.2652,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-02",100.4481,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-03",100.5274,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-04",100.4399,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-05",100.1259,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-06",99.58664,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-07",98.87585,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-08",98.09778,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-09",97.4264,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-10",96.96456,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-11",96.77002,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1966-12",96.83968,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-01",97.12124,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-02",97.51514,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-03",97.99014,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-04",98.52527,
"GBR","CLI","AMPLITUD","LTRENDIDX","M","1967-05",99.06754,
