"Index","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted","spline","eps"
" 1 2007",1418.030029,1441.609985,1403.969971,1438.23999,56686200000,1438.23999,1380.71458409804,1468.50828752062
" 2 2007",1437.900024,1461.569946,1389.420044,1406.819946,51844990000,1406.819946,1401.82511414916,1489.66861443731
" 3 2007",1406.800049,1438.890015,1363.97998,1420.859985,67622250000,1420.859985,1419.77096953113,1511.53081787969
" 4 2007",1420.829956,1498.02002,1416.369995,1482.369995,57032470000,1482.369995,1432.27467893007,1533.05401299118
" 5 2007",1482.369995,1535.560059,1476.699951,1530.619995,64958050000,1530.619995,1439.2891334421,1551.15175863778
" 6 2007",1530.619995,1540.560059,1484.180054,1503.349976,65322800000,1503.349976,1441.32481476587,1562.22622461617
" 7 2007",1504.660034,1555.900024,1454.25,1455.27002,70337430000,1455.27002,1439.14803878193,1563.59935452295
" 8 2007",1455.180054,1503.890015,1370.599976,1473.98999,91381760000,1473.98999,1434.54845809848,1556.27218715458
" 9 2007",1473.959961,1538.73999,1439.290039,1526.75,57809700000,1526.75,1429.57155950563,1542.16553510747
"10 2007",1527.290039,1576.089966,1489.560059,1549.380005,76022580000,1549.380005,1425.29532024045,1523.90308504102
"11 2007",1545.790039,1545.790039,1406.099976,1481.140015,86246950000,1481.140015,1418.92767932778,1506.92001986658
"12 2007",1479.630005,1523.569946,1435.650024,1468.359985,64821670000,1468.359985,1406.70906623944,1497.35439655852
" 1 2008",1467.969971,1471.77002,1270.050049,1378.550049,98475340000,1378.550049,1386.07772161302,1498.51354701285
" 2 2008",1378.599976,1396.02002,1316.75,1330.630005,78536130000,1330.630005,1359.26313074939,1502.38190281216
" 3 2008",1330.449951,1359.680054,1256.97998,1322.699951,93189170000,1322.699951,1329.69259011524,1498.11317046071
" 4 2008",1326.410034,1404.569946,1324.349976,1385.589966,85978630000,1385.589966,1300.32875302716,1478.24228067464
" 5 2008",1385.969971,1440.23999,1373.069946,1400.380005,80990480000,1400.380005,1272.2757002015,1448.8290610175
" 6 2008",1399.619995,1404.050049,1272,1280,96614040000,1280,1246.17286920453,1419.31456326471
" 7 2008",1276.689941,1292.170044,1200.439941,1267.380005,124980570000,1267.380005,1222.15935916903,1394.03331840849
" 8 2008",1269.420044,1313.150024,1247.449951,1282.829956,86266010000,1282.829956,1198.37291549377,1356.89377430821
" 9 2008",1287.829956,1303.040039,1106.420044,1166.359985,140007320000,1166.359985,1172.45094514403,1286.69785804003
"10 2008",1164.170044,1167.030029,839.799988,968.75,159823030000,968.75,1142.58366850708,1171.01904137814
"11 2008",968.669983,1007.51001,741.02002,896.23999,115660210000,896.23999,1109.17255965825,1032.51697488891
"12 2008",888.609985,918.849976,815.690002,903.25,112884470000,903.25,1073.17190609488,902.622853836734
" 1 2009",902.98999,943.849976,804.299988,825.880005,112090640000,825.880005,1035.7682437466,807.15625770202
" 2 2009",823.090027,875.01001,734.52002,735.090027,124492210000,735.090027,999.077102272327,749.490302829142
" 3 2009",729.570007,832.97998,666.789978,797.869995,161843640000,797.869995,965.446259763285,727.38648977848
" 4 2009",793.590027,888.700012,783.320007,872.809998,138855320000,872.809998,937.230430834379,736.782408723466
" 5 2009",872.73999,930.169983,866.099976,919.140015,131614940000,919.140015,916.812076195258,766.320008289755
" 6 2009",923.26001,956.22998,888.859985,919.320007,112653150000,919.320007,906.580593079258,802.817326716059
" 7 2009",920.820007,996.679993,869.320007,987.47998,106635790000,987.47998,908.114428326909,837.120685162979
" 8 2009",990.219971,1039.469971,978.51001,1020.619995,116059270000,1020.619995,919.748227207527,876.189536478694
" 9 2009",1019.52002,1080.150024,991.969971,1057.079956,112295490000,1057.079956,939.005684597623,931.01161643327
"10 2009",1054.910034,1101.359985,1019.950012,1036.189941,113410990000,1036.189941,963.175258719034,1006.31238677028
"11 2009",1036.180054,1113.689941,1029.380005,1095.630005,84981530000,1095.630005,988.604461174909,1081.7682131273
"12 2009",1098.890015,1130.380005,1085.890015,1115.099976,89515330000,1115.099976,1011.40556691372,1130.7931871154
" 1 2010",1116.560059,1150.449951,1071.589966,1073.869995,90947580000,1073.869995,1029.12700298639,1135.54884404213
" 2 2010",1073.890015,1112.420044,1044.5,1104.48999,84561340000,1104.48999,1045.06180485362,1113.18649400085
" 3 2010",1105.359985,1180.689941,1105.359985,1169.430054,103683550000,1169.430054,1063.93916007853,1089.60489078141
" 4 2010",1171.22998,1219.800049,1170.689941,1186.689941,116741910000,1186.689941,1088.7400825684,1084.14307644366
" 5 2010",1188.579956,1205.130005,1040.780029,1089.410034,127662780000,1089.410034,1115.452891607,1089.9012461276
" 6 2010",1087.300049,1131.22998,1028.329956,1030.709961,110106750000,1030.709961,1138.31773282221,1093.41988324326
" 7 2010",1031.099976,1120.949951,1010.909973,1101.599976,94778110000,1101.599976,1153.21870671125,1085.50616318625
" 8 2010",1107.530029,1129.23999,1039.699951,1049.329956,85738250000,1049.329956,1162.61573324861,1074.03402929462
" 9 2010",1049.719971,1157.160034,1049.719971,1141.199951,79589450000,1141.199951,1170.6126872781,1071.144116892
"10 2010",1143.48999,1196.140015,1131.869995,1183.26001,89536270000,1183.26001,1180.02284626451,1085.51374886627
"11 2010",1185.709961,1227.079956,1173,1180.550049,87151070000,1180.550049,1188.49709815647,1111.96699836218
"12 2010",1186.599976,1262.599976,1186.599976,1257.640015,80984530000,1257.640015,1192.39573352359,1141.86462608874
" 1 2011",1257.619995,1302.670044,1257.619995,1286.119995,92164940000,1286.119995,1189.85797393574,1168.18518455264
